time_stamp,cpu_util_percent,mem_util_percent,net_in,net_out,disk_io_percent
6590,0.36,0.87,43.14,35.15,0.07
6750,0.31,0.86,43.14,35.15,0.04
6790,0.35,0.86,43.15,35.15,0.04
6830,0.35,0.86,43.15,35.16,0.04
6850,0.37,0.86,43.15,35.16,0.04
7060,0.31,0.84,43.15,35.16,0.05
7170,0.22,0.84,43.15,35.16,0.1
7430,0.29,0.86,43.16,35.17,0.04
7450,0.32,0.86,43.16,35.17,0.04
7500,0.26,0.85,43.16,35.17,0.04
7560,0.28,0.85,43.16,35.17,0.04
8680,0.37,0.85,43.18,35.19,0.12
8710,0.32,0.84,43.18,35.19,0.08
8780,0.31,0.84,43.19,35.19,0.06
8820,0.3,0.85,43.19,35.19,0.06
8850,0.29,0.84,43.19,35.19,0.06
8860,0.29,0.84,43.19,35.19,0.06
8980,0.29,0.82,43.19,35.19,0.05
9190,0.45,0.84,43.19,35.19,0.05
9200,0.42,0.84,43.2,35.19,0.05
9260,0.31,0.84,43.2,35.19,0.05
9360,0.33,0.83,43.2,35.2,0.08
9440,0.31,0.82,43.2,35.2,0.05
9470,0.27,0.82,43.2,35.2,0.05
9480,0.26,0.82,43.2,35.2,0.05
9770,0.34,0.83,43.21,35.2,0.04
9850,0.36,0.83,43.21,35.2,0.05
9950,0.3,0.82,43.21,35.2,0.07
10010,0.26,0.83,43.21,35.2,0.05
10080,0.26,0.83,43.21,35.2,0.04
10160,0.34,0.82,43.21,35.2,0.04
10320,0.31,0.83,43.22,35.21,0.05
10440,0.28,0.82,43.22,35.21,0.05
10460,0.29,0.83,43.22,35.21,0.05
10590,0.31,0.83,43.22,35.21,0.05
10620,0.27,0.83,43.22,35.21,0.05
10930,0.33,0.84,43.23,35.21,0.08
10950,0.36,0.84,43.23,35.21,0.08
11160,0.29,0.84,43.23,35.22,0.11
11200,0.27,0.85,43.23,35.22,0.11
11390,0.26,0.83,43.24,35.22,0.06
11540,0.24,0.81,43.24,35.22,0.04
11560,0.22,0.8,43.24,35.22,0.04
12710,0.32,0.85,43.26,35.24,0.04
12780,0.33,0.84,43.26,35.24,0.05
12950,0.26,0.84,43.27,35.24,0.06
13520,0.35,0.86,43.28,35.25,0.05
13610,0.32,0.85,43.28,35.25,0.04
13700,0.33,0.86,43.28,35.25,0.04
13740,0.34,0.86,43.28,35.25,0.04
13880,0.35,0.86,43.29,35.25,0.04
13960,0.41,0.86,43.29,35.25,0.04
13970,0.38,0.87,43.29,35.25,0.04
14020,0.34,0.86,43.29,35.25,0.06
14170,0.37,0.89,43.29,35.25,0.04
14310,0.35,0.89,43.3,35.26,0.05
14530,0.33,0.86,43.3,35.26,0.05
