time_stamp,cpu_util_percent,mem_util_percent,net_in,net_out,disk_io_percent
0,0.16,0.92,39.62,32.37,0.04
3370,0.22,0.75,39.67,32.41,0.05
3460,0.28,0.75,39.67,32.41,0.04
3490,0.17,0.75,39.67,32.41,0.04
3680,0.26,0.77,39.67,32.42,0.04
3720,0.24,0.77,39.67,32.42,0.05
3810,0.31,0.8,39.68,32.42,0.04
3870,0.27,0.79,39.68,32.42,0.04
3950,0.25,0.81,39.68,32.42,0.04
4070,0.26,0.79,39.68,32.42,0.04
4250,0.23,0.79,39.68,32.42,0.03
4300,0.2,0.77,39.68,32.42,0.03
4380,0.22,0.78,39.68,32.42,0.04
4690,0.38,0.83,39.69,32.43,0.03
4750,0.6,0.88,39.69,32.43,0.04
4800,0.44,0.9,39.69,32.43,0.07
4850,0.41,0.88,39.69,32.43,0.07
5210,0.4,0.83,39.69,32.43,0.04
5420,0.5,0.83,39.7,32.44,0.04
5440,0.4,0.84,39.7,32.44,0.04
5500,0.39,0.83,39.7,32.44,0.03
5510,0.38,0.83,39.7,32.44,0.03
5540,0.37,0.84,39.7,32.44,0.04
5550,0.36,0.84,39.7,32.44,0.04
5650,0.38,0.83,39.7,32.44,0.04
5710,0.39,0.82,39.7,32.44,0.06
5730,0.3,0.79,39.7,32.44,0.06
5740,0.31,0.8,39.7,32.44,0.06
5850,0.27,0.8,39.71,32.44,0.03
5890,0.33,0.8,39.71,32.44,0.05
6190,0.27,0.76,39.71,32.45,0.04
6280,0.32,0.78,39.71,32.45,0.04
6490,0.28,0.8,39.71,32.45,0.04
6620,0.3,0.82,39.72,32.45,0.05
6700,0.28,0.8,39.72,32.45,0.05
6770,0.23,0.79,39.72,32.45,0.06
6800,0.25,0.79,39.72,32.45,0.05
6820,0.24,0.8,39.72,32.45,0.05
6910,0.23,0.8,39.72,32.45,0.04
6980,0.21,0.79,39.72,32.46,0.03
7040,0.2,0.8,39.72,32.46,0.04
7100,0.24,0.8,39.72,32.46,0.05
7140,0.27,0.81,39.72,32.46,0.08
7230,0.32,0.79,39.73,32.46,0.06
7410,0.32,0.8,39.73,32.46,0.13
7420,0.29,0.8,39.73,32.46,0.13
7430,0.29,0.8,39.73,32.46,0.13
7820,0.32,0.8,39.74,32.47,0.05
8120,0.39,0.81,39.74,32.47,0.07
8600,0.33,0.79,39.75,32.48,0.2
8650,0.29,0.77,39.75,32.48,0.07
8720,0.24,0.76,39.75,32.48,0.05
8730,0.24,0.76,39.75,32.48,0.05
8880,0.26,0.78,39.76,32.48,0.04
8950,0.23,0.77,39.76,32.48,0.03
8960,0.24,0.77,39.76,32.48,0.03
9010,0.27,0.77,39.76,32.48,0.03
9050,0.45,0.78,39.76,32.48,0.03
9390,0.28,0.78,39.76,32.48,0.05
9540,0.29,0.77,39.77,32.48,0.05
9680,0.28,0.79,39.77,32.48,0.04
9740,0.33,0.82,39.77,32.49,0.05
9870,0.28,0.82,39.77,32.49,0.03
10110,0.26,0.78,39.77,32.49,0.03
10160,0.3,0.78,39.78,32.49,0.06
10230,0.33,0.78,39.78,32.49,0.05
10440,0.22,0.78,39.78,32.49,0.04
10470,0.23,0.78,39.78,32.49,0.04
10750,0.24,0.78,39.78,32.49,0.05
10840,0.26,0.8,39.78,32.5,0.03
10900,0.31,0.81,39.79,32.5,0.04
11140,0.33,0.8,39.79,32.5,0.04
11170,0.34,0.79,39.8,32.5,0.07
11200,0.31,0.81,39.8,32.5,0.07
11340,0.29,0.81,39.8,32.5,0.04
11490,0.27,0.8,39.8,32.5,0.05
11540,0.27,0.81,39.8,32.5,0.04
11560,0.27,0.81,39.8,32.5,0.04
11570,0.26,0.81,39.8,32.5,0.04
11580,0.27,0.8,39.8,32.5,0.07
11620,0.29,0.78,39.8,32.5,0.07
