time_stamp,cpu_util_percent,mem_util_percent,net_in,net_out,disk_io_percent
30,0.16,0.91,38.41,30.01,0.03
170,0.14,0.9,38.41,30.01,0.04
180,0.11,0.9,38.41,30.01,0.04
260,0.15,0.9,38.41,30.01,0.04
330,0.12,0.92,38.41,30.01,0.04
370,0.28,0.93,38.41,30.01,0.07
470,0.35,0.94,38.42,30.01,0.09
540,0.29,0.91,38.42,30.01,0.06
550,0.3,0.91,38.42,30.01,0.06
610,0.34,0.91,38.42,30.01,0.12
640,0.32,0.91,38.42,30.01,0.12
740,0.28,0.89,38.42,30.01,0.05
900,0.22,0.89,38.42,30.02,0.05
940,0.23,0.9,38.42,30.02,0.05
950,0.23,0.9,38.42,30.02,0.05
1080,0.4,0.93,38.43,30.02,0.04
1180,0.29,0.92,38.43,30.02,0.05
1270,0.37,0.95,38.43,30.02,0.05
1300,0.3,0.94,38.43,30.02,0.05
2580,0.37,0.91,38.45,30.04,0.12
2590,0.3,0.91,38.45,30.04,0.12
2750,0.22,0.87,38.45,30.04,0.2
2890,0.3,0.89,38.45,30.04,0.14
3040,0.34,0.91,38.46,30.04,0.12
3070,0.35,0.9,38.46,30.04,0.1
3100,0.26,0.89,38.46,30.04,0.1
3400,0.2,0.89,38.46,30.04,0.04
3520,0.19,0.9,38.46,30.05,0.03
3580,0.2,0.88,38.46,30.05,0.06
3650,0.3,0.9,38.47,30.05,0.1
3660,0.25,0.91,38.47,30.05,0.06
3800,0.3,0.93,38.47,30.05,0.05
3930,0.27,0.96,38.47,30.05,0.08
3950,0.24,0.95,38.47,30.05,0.08
4300,0.15,0.88,38.47,30.05,0.03
4380,0.15,0.88,38.47,30.05,0.06
4430,0.18,0.87,38.47,30.05,0.06
4450,0.16,0.87,38.47,30.05,0.05
4670,0.33,0.93,38.48,30.06,0.08
4680,0.33,0.93,38.48,30.06,0.05
4720,0.45,0.97,38.48,30.06,0.05
6620,0.31,0.89,38.52,30.08,0.05
6720,0.3,0.89,38.52,30.08,0.04
6740,0.29,0.88,38.52,30.09,0.04
6860,0.22,0.88,38.52,30.09,0.04
7300,0.27,0.88,38.53,30.09,0.09
7320,0.22,0.87,38.53,30.09,0.04
10440,0.22,0.87,38.58,30.12,0.05
10590,0.26,0.87,38.58,30.13,0.03
10620,0.22,0.86,38.58,30.13,0.08
10700,0.23,0.87,38.58,30.13,0.06
10750,0.25,0.87,38.58,30.13,0.04
10760,0.24,0.87,38.58,30.13,0.04
