time_stamp,cpu_util_percent,mem_util_percent,net_in,net_out,disk_io_percent
5090,0.3,0.88,32.29,24.74,0.91
5190,0.33,0.87,32.29,24.75,0.95
5510,0.43,0.88,32.3,24.75,0.97
5560,0.41,0.89,32.3,24.75,0.94
5590,0.47,0.87,32.3,24.75,0.96
5630,0.46,0.87,32.3,24.75,0.96
5710,0.41,0.87,32.3,24.75,0.9
6000,0.32,0.87,32.3,24.76,0.89
6070,0.31,0.86,32.31,24.76,0.92
6080,0.3,0.86,32.31,24.76,0.92
6470,0.34,0.86,32.31,24.76,0.92
6490,0.31,0.86,32.31,24.76,0.93
6590,0.32,0.88,32.31,24.76,0.88
6640,0.39,0.88,32.31,24.76,0.93
6670,0.37,0.89,32.31,24.76,0.93
6680,0.38,0.89,32.31,24.76,0.93
6840,0.37,0.88,32.32,24.77,0.94
6880,0.37,0.88,32.32,24.77,0.94
7140,0.24,0.87,32.32,24.77,0.91
7230,0.38,0.88,32.32,24.77,0.87
7290,0.32,0.88,32.32,24.77,0.93
7360,0.32,0.88,32.32,24.77,0.94
7390,0.43,0.9,32.32,24.77,0.93
7410,0.4,0.9,32.32,24.77,0.93
7460,0.33,0.88,32.33,24.77,0.91
7760,0.24,0.86,32.33,24.78,1.01
7890,0.37,0.86,32.33,24.78,0.93
7900,0.41,0.86,32.33,24.78,0.93
7910,0.44,0.87,32.33,24.78,0.93
7980,0.36,0.87,32.34,24.78,0.9
8310,0.35,0.85,32.34,24.79,0.94
8350,0.4,0.85,32.34,24.79,0.91
8450,0.38,0.84,32.34,24.79,0.9
8610,0.28,0.86,32.34,24.79,0.9
8620,0.29,0.86,32.34,24.79,0.9
8700,0.26,0.87,32.35,24.79,0.88
9190,0.27,0.85,32.35,24.79,0.89
9350,0.31,0.84,32.36,24.79,0.94
9400,0.29,0.84,32.36,24.79,0.87
9490,0.27,0.84,32.36,24.8,0.88
9500,0.26,0.84,32.36,24.8,0.88
9620,0.32,0.85,32.36,24.8,0.94
10010,0.24,0.85,32.37,24.8,0.88
10150,0.28,0.83,32.37,24.8,0.84
10300,0.3,0.84,32.37,24.8,0.87
10370,0.23,0.83,32.37,24.8,0.88
10430,0.27,0.86,32.37,24.8,0.85
10470,0.23,0.84,32.37,24.8,0.86
10530,0.24,0.85,32.37,24.8,0.95
10540,0.24,0.84,32.37,24.8,0.95
10600,0.25,0.85,32.37,24.81,0.88
10690,0.22,0.85,32.37,24.81,0.91
10710,0.21,0.85,32.37,24.81,0.91
10880,0.28,0.85,32.38,24.81,0.84
10930,0.29,0.86,32.38,24.81,0.86
11020,0.3,0.85,32.38,24.81,0.88
11120,0.32,0.88,32.38,24.81,0.85
11200,0.27,0.87,32.39,24.81,0.89
11360,0.18,0.84,32.39,24.81,0.85
11380,0.16,0.84,32.39,24.81,0.85
11570,0.22,0.83,32.39,24.81,0.87
11630,0.24,0.84,32.39,24.82,0.94
11640,0.25,0.84,32.39,24.82,0.92
11830,0.28,0.84,32.4,24.82,0.86
11920,0.2,0.83,32.4,24.82,0.84
12010,0.32,0.84,32.4,24.82,0.93
12130,0.3,0.83,32.4,24.82,0.93
12170,0.26,0.84,32.4,24.82,0.93
12200,0.26,0.84,32.4,24.82,0.86
12220,0.25,0.84,32.4,24.82,0.86
12310,0.31,0.86,32.4,24.82,0.86
12390,0.38,0.88,32.41,24.82,0.91
12500,0.3,0.88,32.41,24.82,0.88
12660,0.33,0.86,32.41,24.82,0.86
12730,0.26,0.84,32.41,24.82,0.88
12740,0.25,0.85,32.41,24.82,0.88
13040,0.23,0.84,32.41,24.83,0.83
13070,0.2,0.84,32.41,24.83,0.83
13410,0.24,0.86,32.42,24.83,0.9
13480,0.37,0.91,32.42,24.83,0.91
13560,0.32,0.9,32.42,24.83,0.89
13740,0.33,0.89,32.42,24.83,0.92
13930,0.3,0.89,32.43,24.83,0.87
14080,0.25,0.87,32.43,24.84,0.92
14240,0.42,0.91,32.43,24.84,0.89
14300,0.41,0.89,32.43,24.84,0.89
14330,0.32,0.91,32.43,24.84,0.89
14390,0.29,0.9,32.43,24.84,0.85
14450,0.33,0.92,32.43,24.84,0.88
14460,0.34,0.92,32.43,24.84,0.89
14630,0.28,0.91,32.44,24.84,0.84
14720,0.32,0.9,32.44,24.84,0.97
14970,0.31,0.87,32.44,24.85,0.88
15000,0.29,0.87,32.44,24.85,0.91
15050,0.28,0.87,32.45,24.85,0.91
15170,0.38,0.89,32.45,24.85,0.93
15190,0.39,0.88,32.45,24.85,0.96
15220,0.33,0.89,32.45,24.85,0.96
15250,0.31,0.9,32.45,24.85,0.95
15260,0.31,0.9,32.45,24.85,0.95
15330,0.35,0.9,32.45,24.85,0.91
15380,0.31,0.89,32.45,24.85,0.92
15590,0.32,0.87,32.46,24.85,0.96
15670,0.3,0.88,32.46,24.85,0.93
15750,0.31,0.89,32.46,24.86,0.9
15850,0.31,0.89,32.46,24.86,0.98
15900,0.27,0.88,32.46,24.86,0.9
15980,0.24,0.88,32.46,24.86,0.93
16000,0.22,0.88,32.46,24.86,0.93
16030,0.23,0.87,32.46,24.86,0.93
16070,0.22,0.86,32.46,24.86,0.93
16090,0.21,0.86,32.46,24.86,0.98
16150,0.25,0.87,32.46,24.86,0.9
16160,0.25,0.88,32.46,24.86,0.9
16180,0.26,0.88,32.46,24.86,0.9
16330,0.41,0.9,32.47,24.86,0.88
16430,0.28,0.88,32.47,24.86,0.91
16450,0.25,0.87,32.47,24.86,0.88
16480,0.23,0.87,32.47,24.86,0.88
16600,0.25,0.87,32.47,24.87,0.93
16700,0.27,0.88,32.47,24.87,0.95
17050,0.26,0.87,32.47,24.87,0.68
17350,0.42,0.91,32.48,24.87,0.63
17500,0.34,0.91,32.48,24.87,0.68
17530,0.36,0.9,32.48,24.87,0.72
17560,0.3,0.89,32.48,24.87,0.72
17720,0.32,0.89,32.49,24.88,0.62
17740,0.31,0.9,32.49,24.88,0.62
17770,0.31,0.91,32.49,24.88,0.69
17810,0.35,0.91,32.49,24.88,0.69
17840,0.26,0.89,32.49,24.88,0.62
18020,0.37,0.89,32.49,24.88,0.72
18170,0.33,0.9,32.49,24.88,0.72
18220,0.36,0.9,32.49,24.88,0.69
18230,0.36,0.9,32.49,24.88,0.69
18360,0.38,0.9,32.49,24.88,0.7
18370,0.35,0.9,32.49,24.88,0.7
18560,0.35,0.9,32.5,24.88,0.72
18940,0.31,0.91,32.5,24.89,0.68
18960,0.24,0.9,32.5,24.89,0.82
18980,0.26,0.91,32.51,24.89,0.82
19010,0.35,0.91,32.51,24.89,0.82
19030,0.31,0.92,32.51,24.89,0.8
19060,0.32,0.92,32.51,24.89,0.8
19180,0.23,0.91,32.51,24.89,0.78
19230,0.29,0.91,32.51,24.89,0.7
19240,0.25,0.9,32.51,24.89,0.7
19270,0.24,0.91,32.51,24.89,0.79
19720,0.41,0.92,32.52,24.9,0.79
19770,0.46,0.92,32.52,24.9,0.79
19890,0.46,0.95,32.52,24.9,1.0
20080,0.51,0.93,32.53,24.91,0.9
20230,0.54,0.78,32.54,24.91,1.0
20650,0.51,0.8,32.55,24.91,0.88
20730,0.55,0.81,32.55,24.92,0.81
20750,0.56,0.81,32.55,24.92,0.81
20780,0.58,0.81,32.55,24.92,1.01
20830,0.56,0.81,32.55,24.92,0.96
21070,0.44,0.82,32.56,24.92,0.71
21120,0.54,0.82,32.56,24.92,0.84
21360,0.46,0.8,32.56,24.93,0.81
21370,0.49,0.8,32.56,24.93,0.81
21750,0.57,0.81,32.57,24.93,0.72
21860,0.63,0.81,32.57,24.93,0.8
21940,0.55,0.83,32.58,24.94,0.75
21980,0.55,0.83,32.58,24.94,0.74
22060,0.51,0.82,32.58,24.94,0.74
22120,0.5,0.8,32.58,24.94,0.67
22140,0.52,0.79,32.58,24.94,0.71
22150,0.51,0.8,32.58,24.94,0.71
22320,0.78,0.85,32.58,24.94,0.73
22470,0.74,0.83,32.59,24.95,0.75
22490,0.77,0.84,32.59,24.95,0.75
22530,0.78,0.83,32.59,24.95,0.8
22620,0.81,0.84,32.6,24.95,0.74
22710,0.83,0.84,32.6,24.95,0.72
22780,0.82,0.84,32.61,24.95,0.73
22880,0.81,0.85,32.61,24.95,0.69
22920,0.79,0.84,32.61,24.95,0.76
22930,0.83,0.84,32.61,24.95,0.76
23290,0.62,0.81,32.62,24.96,0.7
23300,0.68,0.81,32.62,24.96,0.7
23320,0.62,0.81,32.62,24.96,0.7
23360,0.6,0.82,32.62,24.96,0.76
23380,0.57,0.82,32.62,24.96,0.76
24520,0.51,0.84,32.65,24.98,0.72
24600,0.58,0.85,32.65,24.98,0.77
24640,0.6,0.86,32.66,24.98,0.77
24670,0.58,0.84,32.66,24.98,0.75
24770,0.5,0.85,32.66,24.98,0.69
24840,0.55,0.87,32.66,24.98,0.82
25020,0.53,0.82,32.67,24.99,0.82
25170,0.43,0.82,32.67,24.99,0.8
25500,0.58,0.82,32.68,25.0,0.77
27960,0.37,0.86,32.73,25.05,0.71
28520,0.33,0.83,32.74,25.06,0.67
28910,0.57,0.88,32.75,25.06,0.77
28970,0.52,0.88,32.75,25.06,0.74
29050,0.46,0.84,32.75,25.06,0.72
29180,0.5,0.86,32.75,25.07,0.74
29220,0.48,0.85,32.76,25.07,0.72
29250,0.55,0.86,32.76,25.07,0.72
29270,0.52,0.86,32.76,25.07,0.72
29460,0.36,0.84,32.76,25.07,0.7
29500,0.59,0.84,32.76,25.07,0.7
29590,0.43,0.85,32.76,25.07,0.68
29620,0.43,0.85,32.76,25.07,0.68
29690,0.42,0.85,32.76,25.07,0.65
29810,0.43,0.84,32.77,25.08,0.66
29910,0.43,0.85,32.77,25.08,0.7
30030,0.44,0.84,32.77,25.08,0.8
30080,0.37,0.85,32.77,25.08,0.71
30200,0.32,0.83,32.77,25.08,0.79
30310,0.44,0.84,32.77,25.08,0.75
30320,0.4,0.84,32.77,25.08,0.75
