time_stamp,cpu_util_percent,mem_util_percent,net_in,net_out,disk_io_percent
310,0.39,0.7,40.49,33.38,0.03
540,0.39,0.76,40.49,33.38,0.04
760,0.33,0.74,40.5,33.39,0.06
800,0.32,0.74,40.5,33.39,0.05
890,0.31,0.71,40.5,33.39,0.03
1190,0.36,0.76,40.5,33.39,0.02
1290,0.42,0.77,40.51,33.4,0.05
1410,0.39,0.75,40.51,33.4,0.03
1490,0.32,0.76,40.51,33.4,0.03
1530,0.38,0.75,40.51,33.4,0.04
1750,0.27,0.75,40.52,33.4,0.04
1830,0.26,0.76,40.52,33.41,0.03
1880,0.26,0.77,40.52,33.41,0.03
1900,0.34,0.76,40.52,33.41,0.03
1910,0.32,0.75,40.52,33.41,0.03
2170,0.35,0.73,40.52,33.41,0.03
2250,0.31,0.73,40.52,33.41,0.03
2280,0.33,0.74,40.52,33.41,0.02
2420,0.32,0.75,40.53,33.41,0.03
2470,0.58,0.76,40.53,33.41,0.03
2480,0.3,0.76,40.53,33.41,0.03
2520,0.42,0.77,40.53,33.42,0.03
2650,0.32,0.77,40.53,33.42,0.1
2660,0.33,0.76,40.53,33.42,0.1
2780,0.32,0.74,40.53,33.42,0.14
6530,0.26,0.83,40.6,33.48,0.03
6710,0.37,0.85,40.61,33.49,0.04
6750,0.39,0.83,40.61,33.49,0.04
6760,0.37,0.83,40.61,33.49,0.04
6790,0.36,0.83,40.61,33.49,0.03
6940,0.37,0.83,40.61,33.49,0.03
6990,0.31,0.84,40.61,33.5,0.02
7020,0.38,0.84,40.61,33.5,0.02
7120,0.33,0.85,40.62,33.5,0.03
7130,0.36,0.85,40.62,33.5,0.03
7160,0.37,0.86,40.62,33.5,0.1
7270,0.44,0.82,40.62,33.5,0.08
7340,0.43,0.83,40.62,33.5,0.04
7400,0.39,0.84,40.62,33.5,0.03
7490,0.36,0.86,40.63,33.51,0.04
7840,0.27,0.82,40.63,33.51,0.07
7890,0.47,0.83,40.64,33.51,0.05
8150,0.31,0.83,40.64,33.52,0.04
8440,0.28,0.78,40.65,33.52,0.03
8570,0.24,0.76,40.65,33.52,0.05
8750,0.44,0.78,40.65,33.53,0.16
8810,0.3,0.79,40.65,33.53,0.07
8880,0.31,0.79,40.65,33.53,0.08
8890,0.45,0.78,40.65,33.53,0.08
8900,0.3,0.78,40.66,33.53,0.08
8930,0.38,0.77,40.66,33.53,0.08
8950,0.26,0.77,40.66,33.53,0.14
8960,0.25,0.77,40.66,33.53,0.14
9280,0.36,0.77,40.66,33.53,0.06
9300,0.35,0.77,40.66,33.53,0.12
9340,0.3,0.78,40.66,33.53,0.12
9350,0.31,0.78,40.66,33.53,0.12
9420,0.33,0.76,40.66,33.54,0.06
9480,0.29,0.79,40.67,33.54,0.06
9670,0.32,0.79,40.67,33.54,0.11
9700,0.34,0.8,40.67,33.54,0.11
9860,0.26,0.78,40.67,33.54,0.03
9950,0.41,0.79,40.67,33.54,0.03
10060,0.3,0.76,40.68,33.54,0.04
10250,0.4,0.78,40.68,33.55,0.02
10280,0.38,0.78,40.68,33.55,0.03
10320,0.33,0.78,40.68,33.55,0.03
10740,0.3,0.78,40.68,33.55,0.05
10820,0.39,0.79,40.69,33.55,0.07
10850,0.43,0.79,40.69,33.55,0.07
10870,0.39,0.79,40.69,33.55,0.03
10910,0.42,0.79,40.69,33.55,0.03
10940,0.29,0.79,40.69,33.55,0.03
11010,0.42,0.79,40.69,33.56,0.04
11130,0.36,0.8,40.7,33.56,0.03
11290,0.34,0.87,40.71,33.56,0.02
11360,0.35,0.85,40.71,33.56,0.02
11390,0.36,0.85,40.71,33.56,0.02
11410,0.38,0.86,40.71,33.56,0.02
11420,0.36,0.86,40.71,33.56,0.02
11510,0.35,0.87,40.71,33.56,0.02
11540,0.3,0.85,40.71,33.56,0.02
11610,0.31,0.85,40.71,33.56,0.04
11650,0.31,0.86,40.71,33.56,0.02
11700,0.3,0.86,40.71,33.57,0.03
12070,0.26,0.78,40.72,33.57,0.15
12080,0.36,0.78,40.72,33.57,0.15
12100,0.38,0.78,40.72,33.57,0.15
12160,0.27,0.78,40.72,33.57,0.03
12170,0.29,0.78,40.72,33.57,0.03
12260,0.31,0.81,40.72,33.57,0.03
12300,0.47,0.82,40.72,33.57,0.03
12360,0.34,0.85,40.73,33.57,0.03
12550,0.28,0.82,40.73,33.58,0.03
12570,0.3,0.82,40.73,33.58,0.03
12640,0.33,0.82,40.73,33.58,0.04
12680,0.6,0.87,40.73,33.58,0.03
12740,0.67,0.86,40.73,33.58,0.03
12880,0.27,0.74,40.73,33.58,0.1
13310,0.35,0.78,40.74,33.59,0.05
13330,0.34,0.77,40.74,33.59,0.06
17380,0.37,0.8,40.82,33.64,0.04
17420,0.38,0.82,40.82,33.64,0.03
17450,0.83,0.9,40.82,33.64,0.03
17470,0.48,0.83,40.82,33.64,0.03
17480,0.47,0.82,40.82,33.64,0.03
17620,0.37,0.79,40.82,33.64,0.07
17780,0.27,0.79,40.82,33.65,0.06
17810,0.3,0.79,40.83,33.65,0.06
18080,0.26,0.79,40.83,33.65,0.11
18090,0.26,0.79,40.83,33.65,0.11
18160,0.32,0.8,40.83,33.65,0.05
18190,0.35,0.82,40.83,33.65,0.06
18220,0.3,0.83,40.83,33.65,0.06
18370,0.33,0.8,40.83,33.65,0.03
18380,0.31,0.8,40.83,33.65,0.03
18390,0.37,0.8,40.83,33.65,0.03
18500,0.27,0.8,40.84,33.66,0.03
18550,0.31,0.8,40.84,33.66,0.03
18570,0.35,0.81,40.84,33.66,0.03
18650,0.31,0.82,40.84,33.66,0.03
18700,0.41,0.82,40.84,33.66,0.05
18740,0.36,0.81,40.84,33.66,0.03
18810,0.36,0.81,40.84,33.66,0.03
18890,0.27,0.8,40.85,33.66,0.04
18910,0.35,0.81,40.85,33.66,0.04
19050,0.5,0.82,40.85,33.66,0.03
19070,0.57,0.83,40.85,33.66,0.03
19210,0.52,0.79,40.85,33.67,0.06
19250,0.27,0.76,40.85,33.67,0.06
19340,0.21,0.76,40.85,33.67,0.17
19480,0.29,0.77,40.86,33.67,0.22
19520,0.45,0.79,40.86,33.67,0.04
19530,0.62,0.81,40.86,33.67,0.04
19790,0.51,0.83,40.87,33.67,0.11
19950,0.5,0.91,40.87,33.68,0.43
19970,0.5,0.92,40.87,33.68,0.43
19980,0.52,0.93,40.87,33.68,0.23
20940,0.58,0.86,40.9,33.7,0.15
21090,0.62,0.87,40.91,33.7,0.13
21290,0.39,0.84,40.91,33.7,0.07
