time_stamp,cpu_util_percent,mem_util_percent,net_in,net_out,disk_io_percent
2550,0.31,0.95,36.7,29.31,0.04
2560,0.31,0.95,36.7,29.31,0.04
2570,0.32,0.95,36.7,29.31,0.04
2830,0.25,0.91,36.7,29.31,0.05
2870,0.21,0.91,36.7,29.31,0.05
2890,0.26,0.91,36.7,29.31,0.04
2920,0.28,0.93,36.7,29.31,0.04
2990,0.26,0.94,36.7,29.31,0.05
3070,0.36,0.94,36.71,29.31,0.05
3240,0.22,0.93,36.71,29.31,0.05
3280,0.23,0.92,36.71,29.31,0.05
3400,0.3,0.93,36.71,29.31,0.05
3430,0.33,0.93,36.71,29.31,0.05
3440,0.3,0.93,36.71,29.31,0.05
3460,0.27,0.93,36.71,29.31,0.05
3570,0.18,0.93,36.71,29.31,0.05
3660,0.24,0.95,36.71,29.31,0.06
3670,0.25,0.95,36.71,29.31,0.06
3800,0.3,0.98,36.71,29.32,0.06
3850,0.31,0.95,36.71,29.32,0.04
4150,0.23,0.94,36.72,29.32,0.06
4210,0.24,0.95,36.72,29.32,0.04
4250,0.19,0.95,36.72,29.32,0.04
4450,0.18,0.91,36.72,29.32,0.07
4610,0.28,0.92,36.72,29.32,0.06
4720,0.44,0.97,36.72,29.32,0.05
11380,0.21,0.87,36.83,29.4,0.04
11440,0.27,0.88,36.83,29.4,0.04
11600,0.27,0.85,36.83,29.4,0.05
11670,0.25,0.86,36.84,29.4,0.04
11760,0.22,0.84,36.84,29.4,0.05
11930,0.18,0.84,36.84,29.4,0.05
12020,0.21,0.85,36.84,29.4,0.04
12160,0.45,0.85,36.84,29.4,0.05
12340,0.52,0.89,36.85,29.4,0.05
12450,0.45,0.87,36.85,29.41,0.05
12590,0.46,0.86,36.85,29.41,0.04
12620,0.48,0.87,36.85,29.41,0.04
12640,0.49,0.87,36.85,29.41,0.04
12730,0.44,0.86,36.85,29.41,0.05
12780,0.44,0.86,36.85,29.41,0.05
12890,0.4,0.85,36.85,29.41,0.05
13020,0.39,0.84,36.85,29.41,0.04
13150,0.44,0.84,36.85,29.41,0.05
13240,0.46,0.84,36.86,29.41,0.06
13250,0.45,0.84,36.86,29.41,0.06
13460,0.49,0.88,36.86,29.41,0.04
13590,0.47,0.87,36.86,29.41,0.04
13670,0.48,0.87,36.86,29.41,0.06
13760,0.48,0.88,36.86,29.42,0.04
13820,0.46,0.88,36.86,29.42,0.05
13980,0.5,0.88,36.86,29.42,0.05
19350,0.23,0.89,36.95,29.47,0.07
19390,0.26,0.9,36.95,29.47,0.05
19450,0.24,0.9,36.95,29.47,0.05
19570,0.45,0.91,36.96,29.48,0.1
19580,0.4,0.91,36.96,29.48,0.1
19710,0.38,0.92,36.96,29.48,0.08
19810,0.33,0.91,36.96,29.48,0.08
19990,0.45,0.94,36.97,29.48,0.09
20030,0.4,0.95,36.97,29.48,0.09
20150,0.6,0.93,36.97,29.48,0.14
20410,0.62,0.97,36.98,29.49,0.11
20480,0.48,0.97,36.98,29.49,0.16
20490,0.54,0.93,36.98,29.49,0.16
20530,0.47,0.94,36.98,29.49,0.15
20540,0.46,0.94,36.98,29.49,0.15
20690,0.52,0.95,36.99,29.49,0.13
20780,0.65,0.93,36.99,29.49,0.19
21280,0.38,0.93,37.0,29.5,0.09
21390,0.34,0.93,37.0,29.5,0.08
21490,0.42,0.92,37.0,29.5,0.05
21540,0.4,0.94,37.0,29.5,0.06
21590,0.38,0.94,37.0,29.51,0.06
21710,0.41,0.94,37.01,29.51,0.07
21760,0.43,0.94,37.01,29.51,0.08
21880,0.54,0.96,37.01,29.51,0.1
21890,0.55,0.96,37.01,29.51,0.1
22090,0.42,0.93,37.02,29.51,0.06
22120,0.42,0.92,37.02,29.51,0.06
22190,0.49,0.93,37.02,29.51,0.07
22730,0.81,0.96,37.04,29.52,0.08
23150,0.66,0.93,37.06,29.53,0.06
23520,0.52,0.9,37.07,29.54,0.09
23540,0.46,0.9,37.07,29.54,0.09
23560,0.44,0.89,37.07,29.54,0.09
23570,0.45,0.89,37.07,29.54,0.09
23590,0.46,0.89,37.07,29.54,0.11
23650,0.56,0.9,37.08,29.54,0.09
23680,0.51,0.9,37.08,29.54,0.09
23740,0.55,0.91,37.08,29.54,0.11
23760,0.58,0.92,37.08,29.54,0.09
23770,0.59,0.92,37.08,29.54,0.09
23800,0.59,0.94,37.08,29.54,0.09
23900,0.5,0.93,37.08,29.54,0.12
23970,0.56,0.92,37.08,29.54,0.07
24010,0.59,0.94,37.09,29.54,0.07
24330,0.54,0.92,37.09,29.55,0.11
24520,0.55,0.94,37.1,29.55,0.08
24590,0.59,0.95,37.1,29.55,0.15
24670,0.56,0.94,37.1,29.55,0.14
24700,0.52,0.92,37.1,29.56,0.14
24710,0.53,0.93,37.1,29.56,0.14
24780,0.62,0.95,37.11,29.56,0.07
24790,0.58,0.94,37.11,29.56,0.07
38100,0.27,0.85,37.33,29.75,0.05
38120,0.26,0.83,37.33,29.75,0.05
38140,0.21,0.84,37.33,29.75,0.05
38300,0.24,0.85,37.33,29.75,0.04
38320,0.22,0.83,37.33,29.75,0.04
38500,0.2,0.84,37.34,29.75,0.05
38550,0.35,0.86,37.34,29.75,0.05
38570,0.33,0.85,37.34,29.75,0.05
38810,0.3,0.85,37.34,29.75,0.06
39020,0.32,0.85,37.34,29.76,0.05
39070,0.38,0.85,37.35,29.76,0.05
39120,0.35,0.84,37.35,29.76,0.06
39340,0.26,0.85,37.35,29.76,0.05
39350,0.28,0.85,37.35,29.76,0.05
39550,0.24,0.84,37.35,29.77,0.07
39580,0.21,0.84,37.35,29.77,0.07
39610,0.26,0.84,37.35,29.77,0.06
39620,0.26,0.84,37.35,29.77,0.06
39700,0.28,0.87,37.36,29.77,0.06
39740,0.33,0.87,37.36,29.77,0.06
40340,0.51,0.87,37.37,29.78,0.06
40410,0.49,0.87,37.37,29.78,0.05
40610,0.51,0.85,37.37,29.78,0.05
40660,0.47,0.86,37.37,29.78,0.06
40740,0.49,0.85,37.37,29.78,0.05
40750,0.5,0.85,37.37,29.78,0.05
40800,0.49,0.86,37.37,29.78,0.06
40830,0.56,0.87,37.37,29.78,0.06
40870,0.56,0.87,37.37,29.78,0.05
41080,0.52,0.87,37.38,29.79,0.05
41290,0.38,0.88,37.38,29.79,0.06
41350,0.38,0.88,37.38,29.79,0.05
41410,0.34,0.87,37.38,29.79,0.05
41510,0.37,0.88,37.38,29.8,0.05
41600,0.38,0.88,37.39,29.8,0.05
41650,0.49,0.89,37.39,29.8,0.05
41690,0.38,0.89,37.39,29.8,0.05
41770,0.32,0.87,37.39,29.8,0.05
41780,0.35,0.87,37.39,29.8,0.05
41850,0.28,0.87,37.39,29.8,0.06
42340,0.22,0.86,37.4,29.81,0.05
42370,0.25,0.86,37.4,29.81,0.05
42390,0.24,0.86,37.4,29.81,0.05
42450,0.26,0.87,37.4,29.81,0.07
42490,0.31,0.86,37.4,29.81,0.06
43090,0.38,0.89,37.41,29.82,0.06
43130,0.45,0.9,37.41,29.82,0.06
43260,0.33,0.87,37.41,29.82,0.1
43290,0.3,0.86,37.41,29.82,0.1
43520,0.32,0.87,37.42,29.83,0.13
43820,0.3,0.87,37.42,29.83,0.09
43880,0.29,0.89,37.42,29.83,0.08
43980,0.32,0.9,37.42,29.83,0.1
44040,0.33,0.9,37.42,29.83,0.11
44080,0.33,0.91,37.42,29.83,0.11
44100,0.47,0.92,37.42,29.83,0.16
44160,0.35,0.9,37.43,29.83,0.08
44220,0.32,0.89,37.43,29.83,0.07
44320,0.28,0.89,37.43,29.84,0.06
44490,0.27,0.89,37.43,29.84,0.05
44500,0.3,0.89,37.43,29.84,0.05
44590,0.33,0.87,37.43,29.84,0.07
44610,0.27,0.88,37.43,29.84,0.07
44630,0.32,0.87,37.43,29.84,0.07
44640,0.3,0.88,37.43,29.84,0.1
44810,0.36,0.86,37.43,29.84,0.07
44910,0.22,0.86,37.43,29.84,0.11
45130,0.3,0.86,37.44,29.84,0.09
45170,0.24,0.86,37.44,29.84,0.09
45220,0.27,0.87,37.44,29.84,0.08
45260,0.26,0.87,37.44,29.84,0.08
45270,0.25,0.87,37.44,29.84,0.08
45300,0.26,0.87,37.44,29.85,0.08
45310,0.42,0.87,37.44,29.85,0.08
45320,0.3,0.87,37.44,29.85,0.08
45390,0.25,0.86,37.44,29.85,0.09
45400,0.27,0.86,37.44,29.85,0.09
45430,0.27,0.86,37.44,29.85,0.11
45500,0.24,0.87,37.44,29.85,0.07
45540,0.29,0.87,37.44,29.85,0.09
45580,0.46,0.88,37.44,29.85,0.09
45630,0.45,0.88,37.44,29.85,0.08
45710,0.46,0.88,37.44,29.85,0.09
45820,0.29,0.88,37.45,29.85,0.07
46020,0.31,0.89,37.45,29.85,0.05
46060,0.29,0.89,37.45,29.85,0.05
46130,0.36,0.9,37.45,29.85,0.05
46230,0.29,0.91,37.45,29.85,0.1
46330,0.34,0.91,37.45,29.86,0.05
46650,0.23,0.88,37.46,29.86,0.05
46780,0.22,0.88,37.46,29.86,0.05
46860,0.4,0.89,37.46,29.86,0.05
46870,0.4,0.89,37.46,29.86,0.05
47280,0.43,0.92,37.46,29.86,0.06
47450,0.42,0.92,37.47,29.87,0.05
47480,0.43,0.92,37.47,29.87,0.07
47520,0.36,0.94,37.47,29.87,0.06
47680,0.38,0.96,37.47,29.87,0.06
